,,,,,,,,,,
S.No,Biodiese Blend,POWER,FUEL,TIME,FC,FC,BSFC,TEMPERATURE (°c),,
,%,Watt.,ml.,min,ml/min,kg/hr,kg/kw.hr,Exhaust,Cw1,Cw2
1,0,0,50,5.257,9.5111,0.4742, -,114.12,45.17,47.45
2,0,200,50,5.042,9.9167,0.4944,2.4722,119.75,46.025,48.275
3,0,500,50,4.32,11.574,0.5771,1.1542,136.25,47.1,49.32
4,0,1000,50,3.47,14.409,0.7184,0.7184,160.5,48.85,51.27
5,0,1500,50,3.147,15.888,0.7922,0.5281,188.75,50.47,53.35
6,0,2000,50,2.49,20.08,1.0012,0.5006,221.5,52.05,55.47
7,0,2500,50,2.29,21.834,1.0886,0.4355,255,53.9,57.32
8,0,3000,50,2.127,23.507,1.1721,0.3907,294,55.17,58.8
9,5,0,50,5.2,9.62,0.481, -,112.8,47.2,49.65
10,5,200,50,5.05,9.91,0.496,2.4777,115,48.075,50.5
11,5,500,50,4.29,11.7,0.583,1.1669,136.8,49.125,51.725
12,5,1000,50,3.47,14.4,0.721,0.7208,162.6,50.57,53.55
13,5,1500,50,3.07,16.3,0.814,0.5428,190.5,52.45,55.55
14,5,2000,50,2.47,20.3,1.015,0.5074,218.1,54.1,57.425
15,5,2500,50,2.28,21.9,1.096,0.4384,254.4,55.225,58.45
16,5,3000,50,2.09,23.9,1.197,0.3989,289.3,56.26,60.56
17,10,0,50,5.27,9.4877,0.4762,  -,113.55,47.45,49.85
18,10,200,50,5.08,9.8425,0.494,2.47,126.25,48.3,50.55
19,10,500,50,4.32,11.574,0.5809,1.1618,130.75,49.05,51.4
20,10,1000,50,3.46,14.451,0.7253,0.7253,154.6,50.2,52.85
21,10,1500,50,3.145,15.898,0.7979,0.532,182.62,51.92,55.02
22,10,2000,50,2.47,20.243,1.016,0.508,210.63,53.67,57
23,10,2500,50,2.28,21.93,1.1007,0.4403,242.75,54.575,58.47
24,10,3000,50,2.125,23.529,1.1809,0.3936,280.77,55.72,59.9
25,20,0,50,5.187,9.6395,0.487,  -,110,45.72,48.1
26,20,200,50,5.04,9.9206,0.5012,2.506,113.5,46.9,49.25
27,20,500,50,4.32,11.574,0.5847,1.1694,128.75,48.2,50.7
28,20,1000,50,3.47,14.409,0.728,0.728,150.25,49.75,52.47
29,20,1500,50,3.13,15.974,0.807,0.538,179.63,51.45,54.77
30,20,2000,50,2.49,20.08,1.0145,0.5072,207.5,53.1,56.5
31,20,2500,50,2.3,21.739,1.0983,0.4393,243.5,54.67,58.27
32,20,3000,50,2.11,23.697,1.1972,0.3991,286,56.37,60.17
33,40,0,50,5.2,9.6154,0.4921,   -,111.63,46.92,49.22
34,40,200,50,5.02,9.9602,0.5098,2.5488,119,47.87,50.1
35,40,500,50,4.28,11.682,0.5979,1.1958,130.38,48.42,50.77
36,40,1000,50,3.44,14.535,0.7439,0.7439,159.13,49.67,52.15
37,40,1500,50,3.1,16.129,0.8255,0.5503,185.38,50.95,54.07
38,40,2000,50,2.45,20.408,1.0445,0.5222,218.75,52.52,55.87
39,40,2500,50,2.25,22.222,1.1373,0.4549,246.13,53.92,57.75
40,40,3000,50,2.09,23.923,1.2244,0.4081,294,54.775,58.92
41,60,0,50,5.13,9.7466,0.5053,  -,111,45.75,48.22
42,60,200,50,4.52,11.062,0.5735,2.867257,120.37,46.55,48.8
43,60,500,50,4.17,11.99,0.6216,1.243165,139,47.7,50.1
44,60,1000,50,3.36,14.881,0.7714,0.771429,163,49.22,51.72
45,60,1500,50,3.04,16.447,0.8526,0.568421,195,50.92,53.82
46,60,2000,50,2.4,20.833,1.08,0.54,228.37,52.42,55.72
47,60,2500,50,2.22,22.523,1.1676,0.467027,257.25,54.07,57.37
48,60,3000,50,2.05,24.39,1.2644,0.421463,291.87,55.5,58.92
49,80,0,50,4.53,11.038,0.5795,   -,113.5,45.23,47.96
50,80,200,50,4.37,11.442,0.6007,3.003432,123.17,46.53,49.03
51,80,500,50,4.075,12.27,0.6442,1.288344,134.13,47.97,50.32
52,80,1000,50,3.28,15.244,0.8003,0.800305,165.88,49.52,52.02
53,80,1500,50,2.69,18.587,0.9758,0.650558,189.5,50.82,54.02
54,80,2000,50,2.36,21.186,1.1123,0.556144,231.6,52.52,55.9
55,80,2500,50,2.18,22.936,1.2041,0.481651,257.88,54.5,57.62
56,80,3000,50,2.04,24.51,1.2868,0.428922,291.25,55.42,59.12
57,100,0,50,4.47,11.186,0.5946,   -,117,46.53,48.83
58,100,200,50,4.32,11.574,0.6153,3.0764,124.17,47.3,49.7
59,100,500,50,4,12.5,0.6645,1.329,137.67,48.4,50.8
60,100,1000,50,3.24,15.432,0.8204,0.8204,169.5,49.4,52.4
61,100,1500,50,2.53,19.763,1.0506,0.7004,197.33,50.9,54.4
62,100,2000,50,2.24,22.321,1.1866,0.5933,228.63,52.22,56.02
63,100,2500,50,2.09,23.923,1.2718,0.5087,260.63,54.84,58.12
64,100,3000,50,1.97,25.381,1.3492,0.4497,295,55.78,59.62
